Dänisch,Deutsch
otte,acht
onkel,Onkel
hår,Haar
større,größer
præsident,Präsident
løbe,Lauf
beskytte,schützen
kigger,aussehen
øh,äh
fortsæt,fortsetzen
fru,Frau
vild,wild
åbne,öffnen
dyr,Tiere
skade,Beschädigung
billede,Bild
eget,besitzen
syg,krank
fyren,der Kerl
sort,schwarz
bord,Tabelle
betaler,zahlt
højt,hoch
slået,geschlagen
dumme,blöd
fest,Party
George,George
vinde,Sieg
sende,senden
kig,aussehen
mike,Mike
lod,klang
følg,Folgen
lig,gleich
spiser,Essen
mistet,hat verloren
røvhul,Arschloch
sex,Sex
sid,sid
pigen,das Mädchen
hertil,Hier
ære,Ehre
dame,Dame
fængsel,Gefängnis
smukt,schön
lede,suchen
sat,einstellen
anderledes,anders
mester,Meister
kontor,Büro
vii,wir du
døden,Tod
sendte,geschickt
yeah,Ja
hent,holen
sorte,schwarz
drikke,Trinken
travlt,beschäftigt
David,David
dejligt,schön
glemt,Vergessene
spor,Spur
tingene,die Sachen
ung,jung
skole,Schule
passe,passen
rør,Tube
rette,richtig
begynde,Start
betjent,Polizist
forklare,erklären
ide,Idee
fader,Vater
landet,das Land
skai,skai
hænderne,die Hände
umuligt,unmöglich
herinde,hier drin
drøm,Traum
kalde,Anruf
åben,öffnen
alting,alles
ene,eins
meter,Meter
venlig,freundlich
vandet,das Wasser
luften,die Luft
tør,trocken
fanget,gefangen
fange,Erfassung
overhovedet,alles
forhold,Beziehung
råd,Rat
frue,Dame
jimmy,Jimmy
smukke,Herrlich
uanset,was auch immer
stole,Stühle
godeste,Güte
født,geboren
forsigtig,vorsichtig
faldt,fiel
send,senden
spurgte,abgefragten
netop,genau
syntes,habe gedacht
bekymret,besorgt
skolen,die Schule
elske,Liebe
familien,die Familie
falder,rückläufig
stil,Stil
føles,fühlt sich
egne,besitzen
fare,Achtung
brugte,benutzt
sover,Schlafen
vende,umkehren
guds,Gott
forlade,verlassen
nar,wann
dele,Teile
løber,läuft
tidspunkt,Zeitpunkt
advokat,Anwalt
halv,Hälfte
oberst,Oberst
max,max
kendt,bekannt
mødt,getroffen
bo,bleibe
fører,Treiber
kende,kennt
slippe,loswerden
lærer,Lehrer
slås,Kampf
stolt,stolz
stopper,Anschläge
læge,Arzt
mund,Mund
kigge,aussehen
drink,Getränk
direkte,Direkte
fbi,fbi
bedst,Beste
mord,Mord
ændre,ändern
nemlig,Genau
telefon,Telefon
angreb,Attacke
rejser,Reise
ordre,Auftrag
sikre,dafür sorgen
normalt,normalerweise
smid,werfen
konge,König
ægte,Original-
flyve,Fliege
ordne,Fix
skylder,verdanken
skriver,schreiben
ni,neun
rent,reinigen
ødelægge,zerstören
skib,Schiff
satan,Satan
joe,joe
fart,Geschwindigkeit
vender,Wende
brugt,benutzt
prøvet,versucht
telefonen,Telefon
vore,unsere
børnene,Kinder
krigen,der Krieg
kontakt,Kontakt
gave,Geschenk
skør,verrückt
mødte,getroffen
skrev,schrieb
ærligt,ehrlich
bestemt,Spezifisch
ild,Feuer
middag,Abendessen
ryger,Rauchen
satans,satans
naturligvis,Kurs
kørte,Fahren
stemme,Abstimmung
slemt,Schlecht
bob,Bob
stand,fähig
ah,Ah
lyset,das Licht
problemet,das Problem
paul,paul
lukket,geschlossen
skid,Schleudern
hav,Meer
føle,Gefühl
forsøger,Versuchen
aftes,letzter Nacht
fars,Vater
jesus,Jesus
blå,Blau
krop,Körper
flyt,Bewegung
historien,die Geschichte
forkerte,falsch
glemme,vergessen
pænt,nett
pris,Preis
mistede,hat verloren
ma,Muss
alex,Alex
dér,Dort
glemte,vergessen
forsvind,Hau ab
stærk,stark
billeder,Bilder
hurtigere,Schneller
starte,Anfang
nær,in der Nähe von
taber,Verlierer
undskylde,Entschuldigung
frøken,Fräulein
reddede,Gerettet
bill,Rechnung
levende,Leben
bryder,geht kaputt
fleste,die meisten
derovre,da drüben
løgn,Lüge
lært,gelernt
skrevet,geschrieben
magt,Leistung
ro,ro
underligt,seltsam
venligst,Bitte
paris,Paris
løs,lose
an,ein
dræb,töten
selvom,obwohl
enkelt,Single
sang,Lied
vred,wütend
øl,Bier
stykker,Stücke
rum,Zimmer
lyver,liegend
sulten,hungrig
tredje,dritte
musik,Musik-
parat,bereit
masser,viele
løjtnant,Leutnant
interessant,interessant
midt,mitten drin
starter,beginnt
miste,Verlieren
slipper,Freisetzung
